,state,gender,customer_lifetime_value,number_of_open_complaints,response,coverage,education,effective_to_date,employmentstatus,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,region_mapped,month,date
62,0,M,2108.493744,0.0,0,Basic,Bachelor,2011-01-02,Unemployed,0.0,Suburban,Single,61,8.0,91,1,Personal Auto,Personal L2,Offer1,Agent,351.85681,Two-Door Car,Medsize,0,0,January,2011-01-02
63,Oregon,F,3095.705571,1.0,No,Extended,College,2011-01-12,Unemployed,0.0,Suburban,Single,92,31.0,24,1,Personal Auto,Personal L3,Offer3,Web,774.892461,Two-Door Car,Small,0,north_west,January,2011-01-12
64,Arizona,M,5860.16743,0.0,No,Basic,Bachelor,2011-02-01,Employed,94527.0,Rural,Married,73,16.0,32,3,Personal Auto,Personal L1,Offer1,Agent,41.464402,Four-Door Car,Medsize,A,central,February,2011-02-01
65,Oregon,M,2300.691547,0.0,Yes,Basic,Bachelor,2011-01-15,Retired,25905.0,Suburban,Divorced,63,21.0,12,1,Corporate Auto,Corporate L3,Offer1,Agent,302.4,Four-Door Car,Large,0,north_west,January,2011-01-15
66,California,F,4950.250892,1.0,No,Basic,High School or Below,2011-01-20,Employed,27400.0,Suburban,Married,63,14.0,78,9,Personal Auto,Personal L1,Offer3,Agent,302.4,Four-Door Car,Medsize,A,west_region,January,2011-01-20
67,Washington,M,7507.455372,0.0,Yes,Basic,College,2011-02-06,Employed,60920.0,Urban,Single,64,15.0,61,2,Personal Auto,Personal L3,Offer2,Agent,231.201886,Two-Door Car,Medsize,A,east,February,2011-02-06
68,Nevada,F,2224.089639,0.0,No,Basic,College,2011-01-05,Unemployed,0.0,Suburban,Single,64,20.0,4,1,Corporate Auto,Corporate L2,Offer2,Branch,483.25721,Four-Door Car,Medsize,A,central,January,2011-01-05
69,Oregon,F,2867.312197,0.0,Yes,Extended,Bachelor,2011-01-03,Retired,23376.0,Suburban,Divorced,78,19.0,18,1,Personal Auto,Personal L3,Offer2,Call Center,374.4,Four-Door Car,Medsize,A,north_west,January,2011-01-03
70,Oregon,F,5427.174517,1.0,No,Basic,College,2011-02-11,Medical Leave,27677.0,Suburban,Married,72,10.0,82,3,Personal Auto,Personal L3,Offer2,Agent,345.6,Four-Door Car,Medsize,0,north_west,February,2011-02-11
71,Arizona,M,12157.5413,0.0,No,Extended,High School or Below,2011-01-07,Employed,40432.0,Suburban,Married,77,21.0,66,2,Personal Auto,Personal L3,Offer3,Agent,369.6,Four-Door Car,Medsize,A,central,January,2011-01-07
72,California,M,8152.244431,0.0,No,Extended,High School or Below,2011-01-21,Unemployed,0.0,Suburban,Single,79,19.0,70,2,Personal Auto,Personal L1,Offer1,Agent,568.8,Four-Door Car,Small,0,west_region,January,2011-01-21
73,Arizona,M,2191.133237,1.0,No,Basic,College,2011-01-29,Unemployed,0.0,Suburban,Single,61,9.0,16,1,Special Auto,Special L2,Offer1,Agent,439.2,Four-Door Car,Medsize,0,central,January,2011-01-29
74,Oregon,M,26346.08582,0.0,No,Extended,High School or Below,2011-01-20,Employed,48268.0,Suburban,Divorced,223,28.0,26,2,Personal Auto,Personal L2,Offer1,Web,1605.6,Luxury SUV,Medsize,0,north_west,January,2011-01-20
75,Oregon,M,2364.43161,0.0,No,Basic,College,2011-01-18,Employed,46264.0,Urban,Single,62,17.0,75,1,Corporate Auto,Corporate L1,Offer4,Branch,199.37361,Four-Door Car,Medsize,0,north_west,January,2011-01-18
76,California,M,2710.12066,0.0,No,Basic,Doctor,2011-01-11,Unemployed,0.0,Suburban,Married,71,7.0,87,1,Personal Auto,Personal L3,Offer1,Agent,340.8,Four-Door Car,Small,0,west_region,January,2011-01-11
77,Washington,M,74228.51604,0.0,No,Extended,High School or Below,2011-01-26,Unemployed,0.0,Suburban,Single,242,1.0,34,2,Personal Auto,Personal L1,Offer1,Branch,1742.4,Luxury Car,Medsize,0,east,January,2011-01-26
78,California,M,14687.07959,0.0,No,Extended,Bachelor,2011-02-23,Unemployed,0.0,Suburban,Single,85,3.0,61,2,Personal Auto,Personal L1,Offer1,Web,612.0,Four-Door Car,Small,A,west_region,February,2011-02-23
79,Arizona,M,9312.585034,0.0,No,Premium,High School or Below,2011-02-13,Employed,75986.0,Rural,Married,115,11.0,44,3,Personal Auto,Personal L3,Offer3,Call Center,89.119797,Four-Door Car,Medsize,0,central,February,2011-02-13
80,California,F,7750.120323,1.0,No,Basic,College,2011-02-23,Employed,22668.0,Rural,Single,67,5.0,34,2,Personal Auto,Personal L2,Offer3,Branch,33.718553,Four-Door Car,Medsize,A,west_region,February,2011-02-23
81,Washington,M,2540.689797,0.0,No,Basic,Master,2011-02-28,Employed,42557.0,Rural,Single,65,4.0,35,1,Personal Auto,Personal L3,Offer4,Agent,57.562324,Four-Door Car,Large,0,east,February,2011-02-28
82,Arizona,M,2456.816127,0.0,No,Basic,High School or Below,2011-02-15,Unemployed,0.0,Suburban,Single,73,15.0,59,1,Personal Auto,Personal L3,Offer4,Branch,525.6,Four-Door Car,Small,A,central,February,2011-02-15
83,Oregon,F,3755.806897,0.0,No,Extended,High School or Below,2011-01-04,Employed,56178.0,Suburban,Married,94,1.0,39,1,Personal Auto,Personal L3,Offer2,Branch,451.2,Four-Door Car,Medsize,0,north_west,January,2011-01-04
84,Arizona,F,5181.054467,0.0,No,Basic,College,2011-02-02,Unemployed,0.0,Suburban,Married,70,15.0,64,7,Personal Auto,Personal L1,Offer1,Branch,336.0,Four-Door Car,Large,0,central,February,2011-02-02
85,Oregon,M,32474.76977,0.0,No,Basic,High School or Below,2011-01-22,Employed,71449.0,Suburban,Divorced,102,17.0,7,2,Personal Auto,Personal L3,Offer4,Call Center,734.4,SUV,Small,A,north_west,January,2011-01-22
86,California,M,8349.523082,0.0,No,Basic,Bachelor,2011-01-09,Employed,45428.0,Urban,Divorced,109,15.0,46,3,Corporate Auto,Corporate L3,Offer1,Call Center,487.273964,SUV,Medsize,A,west_region,January,2011-01-09
87,Oregon,F,8126.766397,0.0,No,Basic,College,2011-02-22,Disabled,14616.0,Suburban,Married,107,15.0,73,3,Personal Auto,Personal L3,Offer1,Agent,513.6,0,0,0,north_west,February,2011-02-22
88,Arizona,F,13466.92071,0.0,Yes,Basic,High School or Below,2011-02-23,Disabled,11432.0,Suburban,Married,119,15.0,9,2,Corporate Auto,Corporate L3,Offer2,Agent,571.2,0,0,0,central,February,2011-02-23
89,Arizona,M,5210.348372,0.0,No,Basic,Bachelor,2011-01-04,Employed,89781.0,Rural,Single,66,7.0,89,5,Special Auto,Special L2,Offer1,Agent,37.960537,0,0,A,central,January,2011-01-04
90,Oregon,F,6941.872931,3.0,No,Basic,College,2011-02-11,Unemployed,0.0,Suburban,Single,111,3.0,73,6,Personal Auto,Personal L3,Offer1,Agent,532.8,SUV,Small,A,north_west,February,2011-02-11
91,California,M,7048.384055,0.0,No,Basic,College,2011-02-19,Medical Leave,24030.0,Suburban,Single,194,14.0,0,1,Personal Auto,Personal L1,Offer1,Agent,970.688934,Luxury SUV,Medsize,0,west_region,February,2011-02-19
92,Arizona,F,26770.44534,1.0,No,Basic,College,2011-01-23,Employed,26335.0,Urban,Married,113,32.0,7,2,Personal Auto,Personal L2,Offer1,Call Center,355.818306,SUV,Large,0,central,January,2011-01-23
93,Nevada,F,9549.113813,0.0,No,Basic,High School or Below,2011-02-09,Employed,55986.0,Urban,Married,119,3.0,60,9,Personal Auto,Personal L1,Offer1,Agent,388.506303,SUV,Small,0,central,February,2011-02-09
94,Washington,F,4331.460674,0.0,No,Basic,High School or Below,2011-02-11,Employed,82302.0,Suburban,Married,106,11.0,92,1,Personal Auto,Personal L2,Offer1,Branch,722.178166,SUV,Medsize,0,east,February,2011-02-11
95,Washington,F,7294.492993,2.0,No,Basic,College,2011-02-24,Unemployed,0.0,Suburban,Single,113,12.0,66,7,Personal Auto,Personal L3,Offer1,Call Center,733.737214,Sports Car,Medsize,A,east,February,2011-02-24
96,Oregon,M,3289.120863,4.0,No,Extended,College,2011-01-29,Employed,40097.0,Rural,Single,92,23.0,35,1,Personal Auto,Personal L2,Offer1,Call Center,227.221652,Two-Door Car,Medsize,0,north_west,January,2011-01-29
97,Oregon,F,2505.42043,0.0,No,Basic,Master,2011-02-14,Employed,60546.0,Rural,Single,63,21.0,71,1,Personal Auto,Personal L3,Offer2,Branch,46.278027,0,0,A,north_west,February,2011-02-14
98,Arizona,F,3417.953745,0.0,No,Extended,High School or Below,2011-01-25,Employed,72460.0,Urban,Married,85,9.0,76,1,Personal Auto,Personal L2,Offer2,Call Center,370.018108,Four-Door Car,Medsize,A,central,January,2011-01-25
99,California,F,16320.76716,3.0,No,Extended,High School or Below,2011-02-27,Unemployed,0.0,Suburban,Single,247,5.0,12,5,Personal Auto,Personal L2,Offer2,Branch,1778.4,Luxury Car,Medsize,0,west_region,February,2011-02-27
100,California,F,2838.067784,0.0,No,Extended,Bachelor,2011-02-07,Unemployed,0.0,Urban,Divorced,80,30.0,8,1,Personal Auto,Personal L1,Offer1,Web,336.50961,Four-Door Car,Medsize,0,west_region,February,2011-02-07
101,California,F,4700.583771,0.0,No,Basic,College,2011-02-18,Employed,76694.0,Suburban,Married,117,34.0,23,1,Personal Auto,Personal L1,Offer4,Agent,561.6,SUV,Medsize,A,west_region,February,2011-02-18
102,Arizona,M,2471.528431,0.0,Yes,Basic,High School or Below,2011-01-15,Employed,95697.0,Rural,Married,61,16.0,55,1,Personal Auto,Personal L2,Offer2,Agent,114.273025,Two-Door Car,Medsize,A,central,January,2011-01-15
103,Arizona,F,10130.93442,0.0,No,Extended,Doctor,2011-01-17,Employed,59232.0,Suburban,Divorced,85,6.0,75,2,Corporate Auto,Corporate L3,Offer3,Branch,408.0,Two-Door Car,Medsize,A,central,January,2011-01-17
104,California,M,3419.108695,0.0,No,Extended,High School or Below,2011-02-13,Employed,40272.0,Rural,Married,86,8.0,64,1,Personal Auto,Personal L3,Offer3,Agent,23.387192,Two-Door Car,Medsize,0,west_region,February,2011-02-13
105,California,F,23866.15656,1.0,No,Extended,High School or Below,2011-02-14,Unemployed,0.0,Suburban,Married,81,27.0,93,2,Personal Auto,Personal L2,Offer3,Branch,388.8,Four-Door Car,Medsize,A,west_region,February,2011-02-14
106,Arizona,M,8324.23271,0.0,No,Extended,High School or Below,2011-01-01,Unemployed,0.0,Suburban,Single,121,15.0,92,5,Corporate Auto,Corporate L3,Offer2,Branch,871.2,Sports Car,Medsize,A,central,January,2011-01-01
107,Arizona,F,3179.474225,0.0,No,Extended,Bachelor,2011-01-21,Employed,65742.0,Urban,Married,79,6.0,0,1,Personal Auto,Personal L3,Offer2,Call Center,277.360797,Four-Door Car,Medsize,0,central,January,2011-01-21
108,Oregon,F,6672.127831,0.0,No,Extended,College,2011-02-13,Employed,56830.0,Urban,Married,83,15.0,27,9,Personal Auto,Personal L1,Offer2,Agent,319.799712,Two-Door Car,Medsize,A,north_west,February,2011-02-13
109,California,M,16407.66461,0.0,No,Premium,Bachelor,2011-01-12,Employed,22103.0,Rural,Single,109,16.0,31,2,Personal Auto,Personal L2,Offer1,Agent,160.338007,Four-Door Car,Large,0,west_region,January,2011-01-12
110,Arizona,F,9371.773682,0.0,No,Basic,Bachelor,2011-02-01,Employed,66325.0,Urban,Married,117,10.0,10,5,Corporate Auto,Corporate L2,Offer1,Agent,497.719213,SUV,Medsize,A,central,February,2011-02-01
111,Arizona,M,4270.034394,0.0,Yes,Extended,College,2011-01-19,Unemployed,0.0,Suburban,Married,122,27.0,2,1,Personal Auto,Personal L3,Offer2,Agent,725.870693,SUV,Medsize,0,central,January,2011-01-19
112,California,M,5799.826802,0.0,No,Basic,College,2011-01-03,Employed,60689.0,Rural,Single,74,29.0,67,7,Corporate Auto,Corporate L2,Offer2,Branch,5.746657,Four-Door Car,Medsize,0,west_region,January,2011-01-03
113,Oregon,F,5096.673223,0.0,Yes,Basic,Master,2011-01-28,Disabled,22886.0,Suburban,Divorced,65,9.0,81,3,Corporate Auto,Corporate L2,Offer1,Agent,312.0,Four-Door Car,Small,A,north_west,January,2011-01-28
114,Nevada,F,15563.36944,5.0,No,Premium,Bachelor,2011-01-19,Unemployed,0.0,Suburban,Married,253,15.0,40,7,Personal Auto,Personal L1,Offer3,Web,1214.4,Luxury Car,Medsize,A,central,January,2011-01-19
115,Washington,F,7475.784971,0.0,No,Basic,Bachelor,2011-01-26,Disabled,29633.0,Urban,Married,196,26.0,57,1,Corporate Auto,Corporate L3,Offer1,Agent,534.653787,Luxury Car,Medsize,A,east,January,2011-01-26
116,Oregon,M,9986.661111,0.0,No,Extended,High School or Below,2011-01-22,Disabled,24067.0,Suburban,Single,132,12.0,2,6,Corporate Auto,Corporate L3,Offer2,Branch,633.6,Sports Car,Medsize,0,north_west,January,2011-01-22
117,California,F,5568.656492,0.0,No,Extended,College,2011-02-21,Employed,51489.0,Rural,Married,139,14.0,10,1,Personal Auto,Personal L2,Offer1,Web,236.739322,SUV,Medsize,A,west_region,February,2011-02-21
